Month,Name,Ranking,Visible
,Elasticsearch,36.587,Yes
,Elasticsearch,38.798,Yes
,Elasticsearch,41.516,Yes
,Elasticsearch,42.821,Yes
,Elasticsearch,43.065,Yes
,Elasticsearch,45.896,Yes
,Elasticsearch,49.038,Yes
,Elasticsearch,52.836,Yes
,Elasticsearch,58.924,Yes
,Elasticsearch,64.663,Yes
,Elasticsearch,64.835,Yes
,Elasticsearch,70.091,Yes
,Elasticsearch,70.157,Yes
,Elasticsearch,69.641,Yes
,Elasticsearch,71.55,Yes
,Elasticsearch,70.227,Yes
,Elasticsearch,74.773,Yes
,Elasticsearch,76.566,Yes
,Elasticsearch,77.212,Yes
,Elasticsearch,77.842,Yes
,Elasticsearch,80.167,Yes
,Elasticsearch,82.579,Yes
,Elasticsearch,86.313,Yes
,Elasticsearch,87.414,Yes
,Elasticsearch,88.621,Yes
,Elasticsearch,92.487,Yes
,Elasticsearch,96.477,Yes
,Elasticsearch,99.117,Yes
,Elasticsearch,102.577,Yes
,Elasticsearch,103.272,Yes
,Elasticsearch,106.169,Yes
,Elasticsearch,108.309,Yes
,Elasticsearch,106.225,Yes
,Elasticsearch,105.669,Yes
,Elasticsearch,108.82,Yes
,Elasticsearch,111.557,Yes
,Elasticsearch,115.978,Yes
,Elasticsearch,117.646,Yes
,Elasticsearch,119.998,Yes
,Elasticsearch,120.233,Yes
,Elasticsearch,119.413,Yes
,Elasticsearch,119.781,Yes
,Elasticsearch,122.552,Yes
,Elasticsearch,125.317,Yes
,Elasticsearch,128.544,Yes
,Elasticsearch,131.356,Yes
,Elasticsearch,130.439,Yes
,Elasticsearch,131.041,Yes
,Elasticsearch,136.224,Yes
,Elasticsearch,138.119,Yes
,Elasticsearch,142.606,Yes
,Elasticsearch,142.327,Yes
,Elasticsearch,143.46,Yes
,Elasticsearch,144.704,Yes
,Elasticsearch,143.441,Yes
,Elasticsearch,145.249,Yes
,Elasticsearch,142.789,Yes
,Elasticsearch,145.999,Yes
,Elasticsearch,148.619,Yes
,Elasticsearch,148.823,Yes
,Elasticsearch,148.814,Yes
,Elasticsearch,149.085,Yes
,Elasticsearch,149.271,Yes
,Elasticsearch,150.173,Yes
